"[""01/2016""]",404816
"[""01/2017""]",1409664
"[""01/2018""]",33504270
"[""01/2019""]",1002431
"[""02/2016""]",520040
"[""02/2017""]",1410048
"[""02/2018""]",22231978
"[""03/2016""]",917170
"[""03/2017""]",2426471
"[""03/2018""]",20261862
"[""04/2016""]",1023096
"[""04/2017""]",2539966
"[""04/2018""]",20876642
"[""05/2016""]",1346796
"[""05/2017""]",4245516
"[""05/2018""]",25105717
"[""06/2016""]",1351536
"[""06/2017""]",7244657
"[""06/2018""]",22471788
"[""07/2016""]",1356907
"[""07/2017""]",7835875
"[""07/2018""]",19937033
"[""08/2015""]",85609
"[""08/2016""]",1405743
"[""08/2017""]",10523178
"[""08/2018""]",19842059
"[""09/2015""]",173805
"[""09/2016""]",1387412
"[""09/2017""]",10679242
"[""09/2018""]",16056742
"[""10/2015""]",205045
"[""10/2016""]",1329847
"[""10/2017""]",12602063
"[""10/2018""]",17056926
"[""11/2015""]",234733
"[""11/2016""]",1301586
"[""11/2017""]",15292269
"[""11/2018""]",16713911
"[""12/2015""]",347092
"[""12/2016""]",1316131
"[""12/2017""]",26732085
"[""12/2018""]",17107601
